Timestamp,ID Number
2023-01-12 17:35:28.950440,155
2023-01-12 17:35:28.950455,156
2023-01-12 17:35:28.950470,157
2023-01-12 17:35:28.950490,158
2023-01-12 17:35:28.950505,159
2023-01-12 17:35:28.950520,160
2023-01-12 17:35:28.950564,161
2023-01-12 17:35:28.950582,162
2023-01-12 17:35:28.950597,163
2023-01-12 17:35:28.950613,164
2023-01-12 17:35:28.950628,165
2023-01-12 17:35:28.950643,166
2023-01-12 17:35:28.950657,167
2023-01-12 17:35:28.950672,168
2023-01-12 17:35:28.950687,169
2023-01-12 17:35:28.950702,170
2023-01-12 17:35:28.950717,171
2023-01-12 17:35:28.950732,172
2023-01-12 17:35:28.950748,173
2023-01-12 17:35:28.950764,174
2023-01-12 17:35:28.950779,175
2023-01-12 17:35:28.950795,176
2023-01-12 17:35:28.950811,177
2023-01-12 17:35:28.950826,178
2023-01-12 17:35:28.950841,179
2023-01-12 17:35:28.950856,180
2023-01-12 17:35:28.950872,181
2023-01-12 17:35:28.950887,182
2023-01-12 17:35:28.950903,183
2023-01-12 17:35:28.950918,184
2023-01-12 17:35:28.950933,185
2023-01-12 17:35:28.950949,186
2023-01-12 17:35:28.950964,187
2023-01-12 17:35:28.950979,188
2023-01-12 17:35:28.950994,189
2023-01-12 17:35:28.951009,190
2023-01-12 17:35:28.951024,191
2023-01-12 17:35:28.951039,192
2023-01-12 17:35:28.951059,193
2023-01-12 17:35:28.951075,194
2023-01-12 17:35:28.951090,195
2023-01-12 17:35:28.951104,196
2023-01-12 17:35:28.951120,197
2023-01-12 17:35:28.951134,198
2023-01-12 17:35:28.951149,199
2023-01-12 17:35:28.951164,200
2023-01-12 17:35:28.951180,201
2023-01-12 17:35:28.951195,202
2023-01-12 17:35:28.951210,203
2023-01-12 17:35:28.951225,204
2023-01-12 17:35:28.951240,205
2023-01-12 17:35:28.951254,206
2023-01-12 17:35:28.951269,207
2023-01-12 17:35:28.951289,208
2023-01-12 17:35:28.951304,209
2023-01-12 17:35:28.951319,210
2023-01-12 17:35:28.951334,211
2023-01-12 17:35:28.951349,212
2023-01-12 17:35:28.951364,213
2023-01-12 17:35:28.951378,214
2023-01-12 17:35:28.951393,215
2023-01-12 17:35:28.951408,216
2023-01-12 17:35:28.951424,217
2023-01-12 17:35:28.951439,218
2023-01-12 17:35:28.951454,219
2023-01-12 17:35:28.951469,220
2023-01-12 17:35:28.951484,221
2023-01-12 17:35:28.951498,222
2023-01-12 17:35:28.951513,223
2023-01-12 17:35:28.951528,224
